logFC	AveExpr	t	P.Value	adj.P.Val	B	Bonf
ARHGAP23	3.45969493674126	6.39413659643452	45.9362577040834	2.03892534545343e-36	4.05260685329648e-34	73.0761433883495	1.70209487838452e-32
DOCK5	7.32608402432788	6.16800791198538	45.8557320738852	2.1854072375161e-36	4.14631354972374e-34	73.0253523413165	1.82437796187844e-32
CABP1	-4.97720590060292	6.89635295181929	-45.8733411918584	2.15247963470129e-36	4.14631354972374e-34	72.9883939506355	1.79688999904864e-32
FRMD4B	5.89417956933509	5.67902110792056	45.8240919925815	2.24587407758426e-36	4.16634595548299e-34	72.9667182389811	1.87485567996734e-32
PTGDS	5.35523133508196	5.73151592265068	45.7732064209455	2.34673866610479e-36	4.25882051840061e-34	72.9386264986188	1.95905743846428e-32
KIF13B	3.48861658748836	7.6256366739941	45.4939599260573	2.9890420064416e-36	5.30904737654777e-34	72.6964361205427	2.49525226697745e-32
UGT8	7.10708435355654	4.18555061804612	45.3888572463326	3.27520215359026e-36	5.69612241211906e-34	72.6428743494378	2.73413875781715e-32
LDB3	5.32837829808265	5.11442320762751	45.2330468020592	3.75200944791443e-36	6.39219895330402e-34	72.4926402435071	3.13217748711897e-32
SPP1	5.99326097433683	3.22358249713534	44.9261661662657	4.91014298901065e-36	8.19797473445218e-34	72.2459117201041	4.09898736722609e-32
TXNIP	5.73383422557146	3.75961725931741	44.6830462986486	6.08410496993962e-36	9.95884476255999e-34	71.9975027069919	5.07901082890559e-32
AIF1L	6.07576715044874	3.32780957687609	44.2902579275727	8.62280569228456e-36	1.38429195998445e-33	71.6810778554323	7.19831819191915e-32
KIAA1755	6.89849148541489	3.98084436812598	43.9929025096792	1.12502985286144e-35	1.77202815314855e-33	71.4222836368547	9.3917492116873e-32
CPM	6.00857320002914	3.72077116085036	43.4607210867993	1.81881190900483e-35	2.8117484845134e-33	70.9429737636279	1.51834418163723e-31
ENPP2	7.21266759638353	4.77235037036741	43.3629937726641	1.98776344295917e-35	3.01706349487694e-33	70.8522032192761	1.65938492218232e-31
KALRN	-4.08526051300589	9.29335412168137	-43.3056589883135	2.09428546283901e-35	3.12198125781786e-33	70.7906572204416	1.74830950437801e-31
MEGF10	5.31259814349119	4.80437199308834	43.1873870007126	2.33288732226911e-35	3.38993970843767e-33	70.6843269067769	1.94749433663025e-31
GLUL	4.6793165841718	7.03968640177214	43.1769428201467	2.35525279215842e-35	3.38993970843767e-33	70.6795373142737	1.96616503089385e-31
AASS	5.28127993309122	3.3601135494414	43.1271820450988	2.46486699767886e-35	3.48757791468189e-33	70.6284962912035	2.05767096966231e-31
