Rows	logFC_CMC	AveExpr_CMC	t_CMC	P.Value_CMC	adj.P.Val_CMC	B_CMC	logFC_BrainSeq	AveExpr_BrainSeq	t_BrainSeq	P.Value_BrainSeq	adj.P.Val_BrainSeq	B_BrainSeq	logFC_NeuN	AveExpr_NeuN	t_NeuN	P.Value_NeuN	adj.P.Val_NeuN	B_NeuN
24	ABCG1	-0.0459748281888481	5.63434059695513	-2.7673857147581	0.00585266066318111	0.101756486530308	-4.07037689845741	0.00912871846490244	4.22283947188564	0.401972215788956	0.687939985521465	0.947191500223232	-7.98155078679982	0.378225390436056	3.753616358781	2.68251386226175	0.0108589700309387	0.0963948073288178	-2.98917665704144
25	ABCG4	-0.000324275692415702	3.6947073322758	-0.0174360150117632	0.986095482767724	0.999999421405898	-7.8793161645932	-0.0155253622914801	4.57858725986138	-1.22242703052319	0.222335752151213	0.598647308777297	-7.30760879270296	-0.26588864685385	4.04416482092046	-1.6446915297085	0.108507421501445	0.351053422504675	-4.98108217020387
26	ABHD12B	-0.019382854354955	3.42215795253968	-0.865003579841797	0.387436720780903	0.788145558228632	-7.50040018160903	0.0218719870999233	3.02573004435066	0.853901236045567	0.393720331749212	0.766253022850921	-7.70422294392945	-0.0991565325147709	3.396030418744	-0.427015926261877	0.671843263948869	0.854117146997302	-6.18228484747564
27	ABHD13	-0.0175548672028971	5.32662843531927	-1.22998993749246	0.219258477339342	0.625045264751894	-7.12660940270802	-0.000524991190198411	3.45693907053209	-0.0454800251949727	0.96374959276531	0.999999997573668	-8.06223789637272	-0.137037472260436	6.13345825475546	-0.998219117837366	0.32465921017207	0.615538138751094	-5.80730255715759
28	ABHD17A	0.021473156432453	6.70798092285519	1.20873246600815	0.227316399224003	0.635604751455796	-7.15213113029438	-0.021207379213632	7.4974379267424	-1.35697976744683	0.175627048637511	0.539476194672997	-7.13079716817641	0.00179661297457454	3.69644013625841	0.0100399331864875	0.992043385834631	0.997172187976529	-6.26275863771882
29	ABHD2	0.00925283140179995	7.70665356188248	1.0311912488752	0.302931750891074	0.710995744511537	-7.33944463311781	0.00811153960469328	6.44153330296559	0.540318255248933	0.589307431412996	0.893812082422046	-7.91284260032052	0.0370386075517217	7.10524719460288	0.503003657460066	0.617943998124341	0.825347314345536	-6.10082160911261
30	ABHD6	-0.0292027235206356	6.08709888468429	-2.42106265409814	0.0158174091282091	0.175666443819265	-4.95349396721476	-0.0097425667814753	5.46437532256829	-0.611833246798716	0.541029382590087	0.865883703246886	-7.8731012668513	-0.0552868209588696	3.65466363373813	-0.348851087141075	0.729179240085901	0.879195879698852	-6.17140991493974
31	ABI1	-0.0260947005783124	7.48459700986093	-2.6475456135844	0.00835454197403458	0.125898978415202	-4.38872912617862	0.0205601669243753	6.8573621814078	1.60172577770073	0.110082188417112	0.436449326003969	-6.78126432015401	0.120562892288721	5.54932944306574	1.18333970839882	0.244224722957473	0.538230696331195	-5.55976284257747
32	ABI2	0.00407153984133413	8.7512159855489	0.493137173046594	0.622124386015453	0.931243722770983	-7.75055152692137	-0.00617655240115482	8.68308691218401	-0.67540352949205	0.49984750134942	0.843197094135535	-7.83544634084291	-0.103404054749852	8.88438146284062	-1.67629174312702	0.102115176067387	0.339459653617041	-4.92860925061359
33	ABL1	-0.00676842390590957	5.18842771183553	-0.638338928678908	0.523534821561629	0.876855736898756	-7.6794975365917	-0.00188888644579094	5.24438129401485	-0.164928122040649	0.869091950707575	0.999999997573668	-8.02303178037558	0.144937143118843	5.32691329951261	1.69097920748408	0.0992520606182503	0.334741619537967	-4.84222650226356
34	ABL2	0.00836704190770559	6.74065677288515	0.817667180844466	0.41392271139955	0.806814277840399	-7.54585038653101	0.00213643560030774	5.57417025240169	0.146395008474454	0.883690468463336	0.999999997573668	-8.05235353819402	0.00317517083339302	7.01514464603614	0.0409420267900663	0.967562325456848	0.988288688691522	-6.25595497709297
35	ABLIM1	-0.0617840134199092	7.79324881070593	-4.66475693053673	3.93673363341624e-06	0.000731388870036832	2.78336757317803	-0.0427726472410714	6.90334690180971	-3.46963750074002	0.000583546776653043	0.0308604167399955	-2.12294011559016	-0.18962465260984	8.42758705594668	-2.98036150308579	0.0050653739816846	0.063742666185519	-2.30145652448795
36	ABLIM3	0.0220453141167631	5.10729147336496	1.48292989748199	0.138700392144616	0.510982276668388	-6.77411639491891	0.000398451871798737	5.9916742755308	0.0276047030892544	0.977992532155072	0.999999997573668	-8.04919718091983	0.148739935801394	6.11425813088288	1.46766646124395	0.15064774046478	0.414507418542942	-5.2233430075628
37	ABR	-0.00483769888374471	9.33466313466826	-0.462890116399336	0.643637280961885	0.942564385913615	-7.7689089659404	0.0206501927076394	9.74021173849221	1.67707620318408	0.0943845703601532	0.407310407167717	-6.64684947978444	0.160843540577888	7.78160633695228	3.04447248740336	0.00427749418870066	0.0587782513159406	-2.17552174976825
38	ACAD8	0.000645010632220707	6.37001096177562	0.056079782345286	0.955299846136899	0.999999421405898	-7.87595919343612	0.00883561132397065	6.19584261454585	0.860003119829209	0.390352396332007	0.763088175083502	-7.67916168882195	0.0997964740231578	4.85667079018029	0.852416834494983	0.399468896976764	0.677054846316886	-5.92415720710475
39	ACADSB	-0.012461355881853	6.61613456446711	-1.1252522064504	0.261002614169489	0.671542234422216	-7.24243650478153	0.00238587397566502	5.05204992678881	0.188490892296713	0.850596713970024	0.999999997573668	-8.02891923262161	-0.0194474773234065	5.46550048763232	-0.155241027007003	0.877475421711233	0.94926527879489	-6.25098534863978
40	ACADVL	-0.0124221646150856	8.31248295341033	-0.862548239112512	0.388784538833354	0.789647899115232	-7.5007467365649	-0.00782765121697539	9.4475963806371	-0.568909640366449	0.56976770124533	0.885278947299209	-7.89755395261683	-0.0487104822048337	7.15418110029023	-0.405047014429733	0.687776200208559	0.860384373344399	-6.20622205856959
41	ACAP2	0.0161387875653584	7.8280128838684	1.25738686660285	0.209179453851297	0.612835953443594	-7.09243104798709	-0.00101206662909676	4.65376022465722	-0.075071117240279	0.940199296398281	0.999999997573668	-8.04477118208337	-0.00557084391170404	8.02083647852347	-0.0744499439453049	0.941053574949511	0.979148877758685	-6.2875820440914
42	ACAP3	0.0073375641098637	7.33448178466287	0.502483158738736	0.615540967871412	0.9276984919652	-7.75078169386079	-0.0245180649290177	8.20069362398119	-1.47718243950447	0.140489888812491	0.487061260468174	-6.97421934712388	0.17188672684186	6.63440121104723	1.63048880036362	0.111485949177411	0.356003650134121	-4.98084211546231
43	ACAT1	-0.0153594141249501	7.3011623812408	-1.28131589820117	0.200655287927167	0.600672854417205	-7.06005659554589	-0.0328369258357619	6.40516018856865	-2.79791822396452	0.0054163516350786	0.100186171257292	-4.19656566724705	-0.0163715424738022	5.78040705007596	-0.138285490375182	0.890764932755798	0.954328257249715	-6.27590776065134
44	ACBD3	0.010583210249496	5.41303189069408	0.987372466556871	0.323920457575921	0.73398147021662	-7.39538536045222	0.0189626226696975	4.53518087283856	1.84576170590008	0.0657372757168139	0.343270196754557	-6.35164552817088	0.0341942663242684	5.55622936759638	0.305227849174216	0.7619037557235	0.896659140919547	-6.19749078604132
45	ACBD5	0.00597278379229487	7.0996486960532	0.673790400282014	0.500744733216386	0.863501057973134	-7.65236626183178	-0.0125716346772878	6.01784272387424	-1.43529864030144	0.152059220902367	0.504582578081993	-7.0169076635701	-0.0309265268129618	5.05972401043455	-0.260080713753632	0.796243903323778	0.91369394508922	-6.25228330531403
46	ACER3	-0.016022158014715	6.62503606639267	-1.41985777658215	0.156249858360712	0.535308063219457	-6.86996664155069	-0.0487130641332118	5.92722376843238	-2.51596250014463	0.0122995957953496	0.152344104948215	-4.92019587828708	0.0301310875629586	5.42709058206681	0.576086762859131	0.568045693363503	0.794112936065402	-6.00483831363923
47	ACIN1	0.0176380016521808	6.86754332297086	1.70649333414444	0.0885148531847697	0.417229309774531	-6.42131536622748	-0.00590064770198822	7.40454491935214	-0.524323254507612	0.600372304859778	0.898507605184447	-7.93547996280948	0.0140668798408728	8.26914510467768	0.194697581953165	0.84669521945319	0.937636121896433	-6.24343544322618
48	ACLY	-0.0128110657488518	7.55671002224654	-1.22504815540767	0.221113122613599	0.628006055133124	-7.11468591150412	-0.0064432562287884	7.31020798650793	-0.606645017966219	0.544464029826997	0.867875892348225	-7.85373094381158	0.0987895858762761	4.20930619809897	0.612973220983275	0.54364504697347	0.778225824609243	-6.08280205404613
49	ACO1	0.0385756145228914	6.05045331325914	2.74187430007413	0.00631997984061352	0.106603551008014	-4.14308888433244	-0.0128790375128037	4.64812498962104	-0.819183067015243	0.413217058353272	0.781444003796119	-7.72427115751616	-0.0350264009723912	5.73028235135533	-0.371479098014172	0.712400314955986	0.869935211730158	-6.12105403445712
50	ACO2	-0.0106790442069517	8.07431094234168	-0.821997683679954	0.411455921970542	0.805983837505239	-7.53723847918793	-0.0190275130423979	8.20429390853109	-1.57424624367418	0.116297752104423	0.447826437219488	-6.8191706725317	0.1513044308374	4.74625773146592	0.995211137372713	0.326100156426498	0.61630124427466	-5.75496148483377
51	ACOT13	0.00840687853219247	5.4145968945793	0.670412167178447	0.502893474354735	0.864422342043205	-7.65071377526684	-0.0189026064573448	5.24158835108846	-1.58399829814422	0.114060989428292	0.4436862536513	-6.78475395382414	-0.47505945103847	3.63700248596427	-4.36971658180222	9.69130405273585e-05	0.00712356134343621	1.30948951900439
52	ACOT8	0.0270919006753093	5.33320836157964	1.67665431426301	0.0942126673720494	0.431537136068376	-6.47567224776048	-0.0297238088869394	6.02769024104997	-2.64771491259838	0.00845555373131859	0.124852502831388	-4.57136073379456	-0.259007492045899	4.63247305683522	-1.72131344949488	0.0935496644137809	0.327440557188084	-4.85620593960798
53	ACOX1	-0.0125463720385092	7.76469345091141	-1.18102476911316	0.238134162181375	0.648240536541203	-7.18599502993307	-0.0209141225948488	6.10758933083539	-1.42610795348583	0.154692748942777	0.50826196963543	-7.05302136894773	0.0541917229988112	5.4799222063444	0.590223711946427	0.558629766609882	0.789368148470485	-6.04572607802724
54	ACOX3	-0.00852885571204821	5.18778013209258	-0.614047762096752	0.539452998325559	0.887510865856673	-7.69674297237271	0.00227293081397834	3.47772847628772	0.110923540647994	0.91173800698316	0.999999997573668	-8.06039085361971	-0.371261415410161	3.9651821920111	-4.53058689486016	5.95553291109182e-05	0.00514728201601508	1.76831983124139
55	ACP6	0.0388611798651192	4.49490938195278	2.00677864702378	0.0452917259707169	0.297533045876883	-5.87051259656702	-0.0208136546091593	2.87726613594635	-0.621551855997192	0.534624976927583	0.862018088149407	-7.86233712640211	-0.262451516754057	5.67063042663857	-1.69917436408145	0.097683717893212	0.332480850470217	-4.91334673951738
56	ACSF3	0.00403303249102503	4.62594136230993	0.249797685920952	0.8028427129138	0.999999421405898	-7.8490422262179	0.000618057769209992	4.8051406272732	0.0288129702722817	0.977029519513088	0.999999997573668	-8.06496294972795	-0.143252859675166	5.9477103980241	-1.92964625166246	0.0613481033498249	0.258576009028067	-4.44464407011766
57	ACSL1	0.000715682357588673	7.07132873615862	0.0438864418822388	0.965011813027233	0.999999421405898	-7.8708647472478	0.0274747398454646	6.27364061173667	1.86507411807468	0.0629740544268328	0.335944246776472	-6.32531305608412	0.373984991923603	3.91307814929461	2.15780950912803	0.0375065195318752	0.194199325950098	-4.02738712609397
58	ACSL3	-0.0117301502178252	9.3427210455095	-1.02287078420057	0.306845783896448	0.716632499993438	-7.34256344373966	0.0170456105773375	7.60543099237529	1.49468443211602	0.135861704283337	0.480023818774351	-6.93921329540798	-0.102861605961304	7.69295902849409	-1.38099500165236	0.175568147258651	0.450961292681022	-5.353954151734
59	ACTL6B	0.0264570614857336	5.92573531056518	1.60198154035136	0.109768514658987	0.45956750341006	-6.58542354597939	-0.00655460944109526	5.92950553747118	-0.465215872538334	0.642054581050978	0.922547877472727	-7.94449647603298	0.178240832170952	4.47889577834078	1.70471776869703	0.096634582541853	0.331023951085224	-4.86659862939301
60	ACTN2	0.00812757661408331	6.51228909229541	0.584374553594149	0.559222428641666	0.89719808592214	-7.69156719750164	-0.00550479410887623	6.28020948467817	-0.312510631888374	0.754831128525305	0.981712639996089	-7.99471960112091	0.0248259238187254	6.8273488282506	0.477613386873013	0.635735919349099	0.8338988429666	-6.10206070368563
61	ACTR1B	-0.0168759391634977	7.33025960295734	-1.47203625162738	0.141617592992246	0.515438359410004	-6.79733303206587	-0.00925388428775436	6.83049945827054	-0.707649696722807	0.479614873565022	0.830138596313511	-7.80517020001219	-0.1060967169669	4.51492636649851	-0.772785623763776	0.444559836552392	0.708790414450549	-5.93603341945523
62	ACTR2	0.0102681878196687	8.0652280437443	0.858797270248432	0.390849089290313	0.790512038292461	-7.50937236478471	0.0122533017648497	8.40648188577622	0.930957128074448	0.352491687620734	0.73112359209714	-7.62554067691383	-0.412137400958248	7.07007985542165	-6.94787449504849	3.33279035506003e-08	6.55309903563679e-05	8.64894837879898
63	ACTR3	0.00360983047128087	8.08513940200527	0.451895874654367	0.651532912116924	0.944774617567503	-7.76623470360743	-0.00118003914199798	7.38731221412143	-0.117344909023016	0.906651346563447	0.999999997573668	-8.04244008823792	0.0539627629469194	6.21569015339172	0.738659003390503	0.464775777773168	0.723137782826107	-5.99719197160764
64	ACTR3B	-0.00195237968616036	6.38370150258421	-0.136508056829623	0.891472624440603	0.999999421405898	-7.87017000027591	0.00102602992293253	6.43904570023824	0.0872797476051285	0.93049706190011	0.999999997573668	-8.04582438244264	0.0189700559137477	4.62151743006312	0.169105287611741	0.86663528169626	0.94514013822718	-6.22886320494917
