Rows	logFC_CMC	AveExpr_CMC	t_CMC	P.Value_CMC	adj.P.Val_CMC	B_CMC	logFC_BrainSeq	AveExpr_BrainSeq	t_BrainSeq	P.Value_BrainSeq	adj.P.Val_BrainSeq	B_BrainSeq	logFC_OLIG2	AveExpr_OLIG2	t_OLIG2	P.Value_OLIG2	adj.P.Val_OLIG2	B_OLIG2
29	ABHD6	-0.0292027235206356	6.08709888468429	-2.42106265409814	0.0158174091282091	0.175666443819265	-4.95349396721476	-0.0097425667814753	5.46437532256829	-0.611833246798716	0.541029382590087	0.865883703246886	-7.8731012668513	0.0316879283542391	4.45511816982271	0.140898168820281	0.888982738718718	0.956274393526201	-6.38805487145134
30	ABI1	-0.0260947005783124	7.48459700986093	-2.6475456135844	0.00835454197403458	0.125898978415202	-4.38872912617862	0.0205601669243753	6.8573621814078	1.60172577770073	0.110082188417112	0.436449326003969	-6.78126432015401	0.197150740600572	4.82348387260599	0.881320263931696	0.385822133627911	0.659816509281717	-6.02328333292316
31	ABI2	0.00407153984133413	8.7512159855489	0.493137173046594	0.622124386015453	0.931243722770983	-7.75055152692137	-0.00617655240115482	8.68308691218401	-0.67540352949205	0.49984750134942	0.843197094135535	-7.83544634084291	-0.0257851324518318	7.80755446742799	-0.273192817592606	0.786756797593905	0.907403085468206	-6.31821807597102
32	ABL1	-0.00676842390590957	5.18842771183553	-0.638338928678908	0.523534821561629	0.876855736898756	-7.6794975365917	-0.00188888644579094	5.24438129401485	-0.164928122040649	0.869091950707575	0.999999997573668	-8.02303178037558	0.253327588811571	6.31263264907527	1.73969039201075	0.0931542623014934	0.312196560189989	-4.94065672379364
33	ABL2	0.00836704190770559	6.74065677288515	0.817667180844466	0.41392271139955	0.806814277840399	-7.54585038653101	0.00213643560030774	5.57417025240169	0.146395008474454	0.883690468463336	0.999999997573668	-8.05235353819402	-0.0267323656627768	6.03735116640193	-0.242630507397309	0.81010149061238	0.918888961612337	-6.24419463323119
34	ABLIM1	-0.0617840134199092	7.79324881070593	-4.66475693053673	3.93673363341624e-06	0.000731388870036832	2.78336757317803	-0.0427726472410714	6.90334690180971	-3.46963750074002	0.000583546776653043	0.0308604167399955	-2.12294011559016	-0.221861803633972	6.47008835822601	-0.823510494818332	0.417339176191225	0.679693568044635	-6.05582190820927
35	ABLIM3	0.0220453141167631	5.10729147336496	1.48292989748199	0.138700392144616	0.510982276668388	-6.77411639491891	0.000398451871798737	5.9916742755308	0.0276047030892544	0.977992532155072	0.999999997573668	-8.04919718091983	-0.239867651271548	5.17136556637678	-1.13377152860317	0.266728205787824	0.542391889978684	-5.7528051532731
36	ABR	-0.00483769888374471	9.33466313466826	-0.462890116399336	0.643637280961885	0.942564385913615	-7.7689089659404	0.0206501927076394	9.74021173849221	1.67707620318408	0.0943845703601532	0.407310407167717	-6.64684947978444	0.0235622126149237	6.68082707121596	0.138695794503581	0.890706455940436	0.956684174010181	-6.38752260354502
37	ACACB	-0.0687551454453451	5.73623265283821	-3.07132524171201	0.00224292369185477	0.0576466850050816	-3.19662832815954	-0.038459026937371	4.87817132442023	-1.78698909098684	0.0747698020844382	0.363830653400138	-6.46873036409428	-0.532964051412247	7.34891561198374	-3.38894216282105	0.00214525393311276	0.0361907124560192	-1.56823268323999
38	ACAD8	0.000645010632220707	6.37001096177562	0.056079782345286	0.955299846136899	0.999999421405898	-7.87595919343612	0.00883561132397065	6.19584261454585	0.860003119829209	0.390352396332007	0.763088175083502	-7.67916168882195	-0.411579188246654	4.51305088564046	-1.99205498988983	0.056431831074897	0.237390209092934	-4.50694376648983
39	ACADSB	-0.012461355881853	6.61613456446711	-1.1252522064504	0.261002614169489	0.671542234422216	-7.24243650478153	0.00238587397566502	5.05204992678881	0.188490892296713	0.850596713970024	0.999999997573668	-8.02891923262161	-0.028101110805772	4.81275945041302	-0.120297396171899	0.905126702879412	0.961021994717838	-6.40385862917128
40	ACADVL	-0.0124221646150856	8.31248295341033	-0.862548239112512	0.388784538833354	0.789647899115232	-7.5007467365649	-0.00782765121697539	9.4475963806371	-0.568909640366449	0.56976770124533	0.885278947299209	-7.89755395261683	0.200472411761323	6.41298908975239	1.30803204102457	0.201747063282386	0.468650635199963	-5.55032774184373
41	ACAP2	0.0161387875653584	7.8280128838684	1.25738686660285	0.209179453851297	0.612835953443594	-7.09243104798709	-0.00101206662909676	4.65376022465722	-0.075071117240279	0.940199296398281	0.999999997573668	-8.04477118208337	-0.101975169348414	7.1805262327658	-0.910998278036739	0.370253817278475	0.64368269358236	-5.91714306759549
42	ACAP3	0.0073375641098637	7.33448178466287	0.502483158738736	0.615540967871412	0.9276984919652	-7.75078169386079	-0.0245180649290177	8.20069362398119	-1.47718243950447	0.140489888812491	0.487061260468174	-6.97421934712388	-0.136068609447487	6.22065618569701	-1.02828026669434	0.312824152604159	0.591669444136288	-5.78869752748949
